instanceName    Time            Truks           OptiTrucks      Distance        OptiDistance    
 P-n40-k5       20              5               5               521.0           458             
 A-n65-k9       22              10              9               1263.0          1177            
 A-n63-k9       7               10              9               1684.0          1634            
 A-n60-k9       6               9               9               1375.0          1408            
 B-n56-k7       5               7               7               732.0           707             
 A-n39-k6       1               6               6               846.0           831             
 A-n45-k6       3               7               6               1003.0          944             
 P-n23-k8       0               9               8               537.0           554             
 B-n44-k7       2               7               7               935.0           909             
 P-n60-k15      5               16              15              1019.0          905             
 B-n67-k10      15              11              10              1095.0          1033            
 B-n50-k8       3               8               8               1372.0          1313            
 P-n55-k8       4               7               8               632.0           576             
 B-n66-k9       4               9               9               1401.0          1374            
 A-n36-k5       1               5               5               815.0           799             
 P-n21-k2       0               2               2               249.0           211             
 A-n46-k7       2               7               7               940.0           914             
 P-n51-k10      3               11              10              789.0           745             
 B-n45-k6       2               7               6               725.0           678             
 P-n101-k4      12              4               4               751.0           681             
 B-n43-k6       2               6               6               758.0           742             
 P-n22-k8       0               9               8               590.0           603             
 P-n70-k10      5               11              10              881.0           834             
 B-n64-k9       2               10              9               923.0           861             
 A-n62-k8       3               8               8               1340.0          1290            
 P-n76-k5       5               6               5               697.0           631             
 P-n22-k2       1               2               2               253.0           216             
 B-n57-k9       2               9               9               1656.0          1598            
 P-n65-k10      4               10              10              835.0           792             
 B-n51-k7       1               8               7               1120.0          1032            
 A-n37-k6       1               7               6               1016.0          949             
  P-n20-k2      0               2               2               249.0           220             
 B-n78-k10      4               10              10              1261.0          1266            
 A-n63-k10      2               10              10              1349.0          1315            
 A-n33-k6       0               6               6               745.0           742             
 A-n37-k5       2001            0               5               669.0           669             
 P-n50-k10      1               11              10              737.0           696             
 A-n38-k5       0               6               5               792.0           730             
 P-n60-k10      3               10              10              777.0           706             
 A-n32-k5       1               5               5               834.0           784             
 B-n63-k10      3               10              10              1605.0          1537            
  P-n50-k7      2               7               7               584.0           554             
 B-n52-k7       4               7               7               760.0           747             
 B-n34-k5       1               5               5               806.0           788             
 B-n50-k7       2               7               7               745.0           741             
 B-n41-k6       1               7               6               901.0           829             
 A-n53-k7       3               8               7               1136.0          1010            
 P-n55-k10      1               10              10              732.0           669             
 B-n57-k7       2               8               7               1239.0          1153            
 A-n34-k5       1               5               5               810.0           778             
 A-n33-k5       0               5               5               693.0           661             
 A-n69-k9       3               9               9               1210.0          1168            
 P-n76-k4       4               4               4               651.0           589             
 B-n45-k5       2               5               5               764.0           751             
 A-n54-k7       2               7               7               1172.0          1167            
 A-n64-k9       3               9               9               1462.0          1402            
 B-n35-k5       1               5               5               976.0           955             
 P-n55-k7       2               7               7               609.0           524             
 A-n44-k6       1               6               6               1006.0          937             
 P-n16-k8       0               9               8               482.0           435             
 P-n45-k5       1               5               5               571.0           510             
 A-n80-k10      4               10              10              1818.0          1764            
 A-n39-k5       5               5               5               907.0           822             
 A-n61-k9       3               10              9               1118.0          1035            
 P-n50-k8       2               9               8               644.0           649             
 A-n45-k7       1               7               7               1213.0          1146            
 B-n68-k9       4               9               9               1313.0          1304            
 P-n19-k2       1               2               2               237.0           212             
 A-n55-k9       2               9               9               1115.0          1073            
 B-n38-k6       1               6               6               832.0           805             
 A-n48-k7       1               7               7               1112.0          1073            
 B-n39-k5       1               5               5               564.0           549             
 P-n55-k15      2               17              15              982.0           856             
 B-n31-k5       1               5               5               679.0           672             
